Locust.Heatmap -> http://localhost:5000
Locust.WorldSim -> http://localhost:5100
Locust.SensorSimulator001 -> http://localhost:5200
Querying regional heatmap at 128x128 around the WorldSim box...
23:50:44 frame    1 -> media/heatmap-live.png
23:50:45 frame    2 -> media/heatmap-live.png
23:50:46 frame    3 -> media/heatmap-live.png
23:50:47 frame    4 -> media/heatmap-live.png
23:50:48 frame    5 -> media/heatmap-live.png
23:50:49 frame    6 -> media/heatmap-live.png
23:50:50 frame    7 -> media/heatmap-live.png
23:50:51 frame    8 -> media/heatmap-live.png
23:50:53 frame    9 -> media/heatmap-live.png
23:50:54 frame   10 -> media/heatmap-live.png
23:50:55 frame   11 -> media/heatmap-live.png
23:50:56 frame   12 -> media/heatmap-live.png
23:50:57 frame   13 -> media/heatmap-live.png
23:50:58 frame   14 -> media/heatmap-live.png
23:50:59 frame   15 -> media/heatmap-live.png
23:51:00 frame   16 -> media/heatmap-live.png
23:51:01 frame   17 -> media/heatmap-live.png
23:51:02 frame   18 -> media/heatmap-live.png
23:51:03 frame   19 -> media/heatmap-live.png
23:51:04 frame   20 -> media/heatmap-live.png
23:51:05 frame   21 -> media/heatmap-live.png
23:51:06 frame   22 -> media/heatmap-live.png
23:51:07 frame   23 -> media/heatmap-live.png
23:51:08 frame   24 -> media/heatmap-live.png
23:51:10 frame   25 -> media/heatmap-live.png
23:51:11 frame   26 -> media/heatmap-live.png
23:51:12 frame   27 -> media/heatmap-live.png
23:51:13 frame   28 -> media/heatmap-live.png
23:51:14 frame   29 -> media/heatmap-live.png
23:51:15 frame   30 -> media/heatmap-live.png
23:51:16 frame   31 -> media/heatmap-live.png
23:51:17 frame   32 -> media/heatmap-live.png
23:51:18 frame   33 -> media/heatmap-live.png
23:51:19 frame   34 -> media/heatmap-live.png
23:51:20 frame   35 -> media/heatmap-live.png
23:51:21 frame   36 -> media/heatmap-live.png
23:51:22 frame   37 -> media/heatmap-live.png
23:51:23 frame   38 -> media/heatmap-live.png
23:51:24 frame   39 -> media/heatmap-live.png
23:51:26 frame   40 -> media/heatmap-live.png
23:51:27 frame   41 -> media/heatmap-live.png
23:51:28 frame   42 -> media/heatmap-live.png
23:51:29 frame   43 -> media/heatmap-live.png
23:51:30 frame   44 -> media/heatmap-live.png
23:51:31 frame   45 -> media/heatmap-live.png
23:51:32 frame   46 -> media/heatmap-live.png
23:51:33 frame   47 -> media/heatmap-live.png
23:51:34 frame   48 -> media/heatmap-live.png
23:51:35 frame   49 -> media/heatmap-live.png
23:51:36 frame   50 -> media/heatmap-live.png
23:51:37 frame   51 -> media/heatmap-live.png
23:51:38 frame   52 -> media/heatmap-live.png
23:51:39 frame   53 -> media/heatmap-live.png
23:51:40 frame   54 -> media/heatmap-live.png
23:51:41 frame   55 -> media/heatmap-live.png
23:51:43 frame   56 -> media/heatmap-live.png
23:51:44 frame   57 -> media/heatmap-live.png
